0.044,0.064,1.016
0.037,0.063,1.014
0.036,0.063,1.008
0.037,0.061,1.015
0.034,0.048,1.005
0.023,0.052,0.990
0.026,0.048,0.998
0.029,0.050,0.990
0.034,0.036,0.982
0.031,0.036,0.979
0.034,0.045,0.988
0.028,0.057,0.980
0.028,0.047,0.965
0.037,0.039,0.973
0.031,0.032,0.966
0.041,0.028,0.960
0.047,0.029,0.988
0.048,0.034,0.981
0.051,0.035,1.000
0.047,0.036,1.000
0.051,0.048,1.010
0.048,0.050,1.005
0.041,0.051,1.010
0.050,0.049,1.008
0.046,0.047,1.018
0.040,0.048,1.012
0.043,0.039,1.003
0.032,0.037,1.008
0.039,0.038,1.010
0.032,0.043,1.025
0.036,0.036,1.031
0.025,0.026,1.056
0.025,0.012,1.064
0.007,-0.001,1.128
0.017,0.023,1.179
0.013,0.014,1.233
-0.014,0.001,1.329
-0.037,-0.002,1.388
0.013,-0.097,1.414
0.073,-0.041,1.334
0.072,-0.004,1.398
0.078,0.009,1.383
0.054,0.063,1.323
0.038,0.116,1.233
0.046,0.079,1.116
0.035,0.037,0.973
0.091,0.044,0.831
0.105,0.023,0.681
0.086,0.021,0.576
0.050,-0.036,0.533
-0.019,-0.003,0.500
-0.038,0.036,0.454
0.000,0.007,0.446
0.026,-0.008,0.396
0.018,-0.083,0.347
-0.005,-0.089,0.335
-0.013,-0.113,0.398
-0.005,-0.124,0.443
-0.004,-0.145,0.573
-0.029,-0.102,0.660
-0.033,-0.077,0.699
-0.029,-0.015,0.822
0.001,0.044,0.861
0.010,0.065,1.010
0.039,0.059,1.087
0.025,0.060,1.190
-0.014,0.148,1.245
0.004,0.160,1.299
0.004,0.139,1.319
-0.010,0.122,1.348
0.019,0.074,1.295
0.032,0.036,1.245
0.018,0.061,1.198
0.021,0.050,1.195
0.080,0.017,1.183
0.101,0.033,1.164
0.090,0.037,1.147
0.081,0.045,1.163
0.091,0.054,1.188
0.104,0.089,1.231
0.125,0.127,1.283
0.129,0.145,1.276
0.106,0.144,1.279
0.082,0.128,1.257
0.072,0.120,1.230
0.061,0.063,1.219
0.047,0.043,1.195
0.058,0.012,1.169
0.054,0.053,1.162
0.072,0.084,1.172
0.090,0.104,1.150
0.090,0.078,1.102
0.078,0.092,1.077
0.093,0.051,1.047
0.080,0.053,1.051
0.107,0.048,1.054
0.100,0.028,1.031
0.098,0.046,1.028
0.086,0.071,1.038
0.073,0.063,1.058
0.057,0.100,1.021
0.040,0.084,1.004
0.043,0.037,0.979
-0.002,0.000,0.901
-0.042,-0.030,0.838
-0.054,-0.061,0.765
-0.051,-0.139,0.704
-0.083,0.007,0.719
-0.042,-0.043,0.691
-0.047,-0.047,0.690
-0.024,-0.094,0.642
-0.040,-0.100,0.635
-0.048,-0.107,0.614
-0.043,-0.077,0.568
-0.065,-0.123,0.540
-0.063,-0.172,0.518
-0.055,-0.181,0.572
-0.048,-0.141,0.597
-0.015,-0.103,0.669
-0.047,-0.028,0.700
-0.009,-0.007,0.727
